PKEY,GRASS_SPP,Interval1,Interval2,Interval3,Interval4,Interval5,Interval6,Interval7,Interval8,Interval9,Interval10,DURMETH
ABMI:PUBLIC:1058:2011_6_16_5_5,CCSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1058:2011_6_16_5_53,CCSP,2,1,0,0,0,0,0,0,0,1,Y
ABMI:PUBLIC:1058:2011_6_16_6_17,CCSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1058:2011_6_16_6_41,CCSP,1,0,0,0,0,1,0,0,0,0,Y
ABMI:PUBLIC:1058:2011_6_16_7_2,CCSP,1,0,0,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1058:2011_6_16_7_25,CCSP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1058:2011_6_16_7_45,CCSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1058:2011_6_16_8_6,CCSP,3,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1058:2015_6_2_4_57,CCSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1058:2015_6_2_5_24,CCSP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1058:2015_6_2_6_35,CCSP,2,1,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1058:2015_6_2_6_57,CCSP,0,0,0,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1058:2015_6_2_7_34,CCSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1058:2015_6_2_7_56,CCSP,1,1,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1058:2015_6_2_8_17,CCSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1058:2015_6_2_8_40,CCSP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1083:2008_5_28_10_7,CCSP,0,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1083:2008_5_28_11_10,CCSP,0,2,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1083:2008_5_28_6_54,CCSP,1,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1083:2008_5_28_7_35,CCSP,2,0,0,0,0,0,0,0,0,0,Y
