PKEY,GRASS_SPP,Interval1,Interval2,Interval3,Interval4,Interval5,Interval6,Interval7,Interval8,Interval9,Interval10,DURMETH
ABMI:PUBLIC:1505:2014_6_16_8_35,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1505:2014_6_16_8_56,GRSP,1,0,0,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1506:2015_6_10_5_41,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1506:2015_6_10_6_9,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1522:2014_5_28_6_25,GRSP,2,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1524:2014_5_29_5_35,GRSP,0,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1524:2014_5_29_5_7,GRSP,3,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1524:2014_5_29_6_21,GRSP,1,0,0,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1524:2014_5_29_6_42,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1524:2014_5_29_7_23,GRSP,1,0,0,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1524:2014_5_29_7_3,GRSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1524:2014_5_29_7_50,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1525:2013_6_12_5_55,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1525:2013_6_12_7_17,GRSP,0,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1526:2015_6_12_8_14,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1526:2015_6_12_8_39,GRSP,0,0,0,0,0,0,1,0,0,0,Y
ABMI:PUBLIC:1531:2015_6_3_5_18,GRSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1539:2010_6_14_6_30,GRSP,0,0,0,0,0,0,0,0,1,0,Y
ABMI:PUBLIC:1541:2012_6_12_5_42,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1543:2012_6_13_5_15,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1543:2012_6_13_6_32,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1543:2012_6_13_6_58,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1543:2012_6_13_7_45,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1544:2007_5_29_6_45,GRSP,0,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1544:2015_6_13_6_11,GRSP,2,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1544:2015_6_13_6_34,GRSP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1544:2015_6_13_6_58,GRSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1544:2015_6_13_7_21,GRSP,0,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1544:2015_6_13_7_44,GRSP,2,0,0,0,0,0,0,1,0,0,Y
