PKEY,GRASS_SPP,Interval1,Interval2,Interval3,Interval4,Interval5,Interval6,Interval7,Interval8,Interval9,Interval10,DURMETH
ABMI:PUBLIC:1117:2008_5_28_7_50,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1122:2011_5_30_10_8,VESP,0,0,0,0,0,0,0,1,0,0,Y
ABMI:PUBLIC:1122:2011_5_30_6_37,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1122:2011_5_30_6_4,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1122:2011_5_30_9_10,VESP,0,0,0,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1122:2011_5_30_9_44,VESP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1122:2014_6_1_5_28,VESP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1122:2014_6_1_5_53,VESP,1,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1122:2014_6_1_6_15,VESP,1,0,0,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1122:2014_6_1_6_37,VESP,2,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1122:2014_6_1_6_59,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1122:2014_6_1_7_46,VESP,0,0,2,0,0,0,1,0,0,0,Y
ABMI:PUBLIC:1122:2014_6_1_8_23,VESP,1,0,0,0,0,0,0,1,0,0,Y
ABMI:PUBLIC:1122:2014_6_1_8_46,VESP,1,0,0,0,0,0,0,1,0,0,Y
ABMI:PUBLIC:1125:2011_5_27_4_52,VESP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1125:2011_5_27_5_20,VESP,2,0,0,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1125:2011_5_27_5_52,VESP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1125:2011_5_27_6_19,VESP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1125:2011_5_27_6_43,VESP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1125:2011_5_27_7_11,VESP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1125:2011_5_27_7_36,VESP,1,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1125:2011_5_27_8_0,VESP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1125:2011_5_27_8_25,VESP,1,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1126:2011_5_28_6_50,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1126:2011_5_28_7_38,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1126:2011_5_28_8_38,VESP,0,0,0,0,0,0,0,1,0,0,Y
ABMI:PUBLIC:1126:2014_6_13_5_24,VESP,0,0,0,0,0,1,0,0,0,0,Y
ABMI:PUBLIC:1126:2014_6_13_5_46,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1126:2014_6_13_6_34,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1126:2014_6_13_6_9,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1126:2014_6_13_7_33,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1126:2014_6_13_7_57,VESP,0,0,0,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1127:2011_5_29_5_23,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1127:2011_5_29_5_49,VESP,1,0,0,0,0,0,1,0,0,0,Y
ABMI:PUBLIC:1127:2011_5_29_6_29,VESP,1,1,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1127:2011_5_29_6_51,VESP,2,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1127:2011_5_29_6_9,VESP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1127:2011_5_29_7_33,VESP,1,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1127:2011_5_29_7_41,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1127:2011_5_29_7_53,VESP,1,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1127:2011_5_29_7_9,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1148:2008_5_28_5_10,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1148:2008_5_28_5_30,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1148:2008_5_28_8_22,VESP,1,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1148:2008_5_28_8_40,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1150:2015_6_10_4_45,VESP,0,0,0,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1150:2015_6_10_5_38,VESP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1150:2015_6_10_8_26,VESP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1157:2011_5_30_4_51,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1157:2011_5_30_5_12,VESP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1157:2011_5_30_5_36,VESP,1,1,0,0,0,0,0,0,0,0,Y
